,model,positive,negative,count_rev
0,product--smartfon-xiaomi-redmi-note-13-pro-4g,"[('шустрый', 7), ('хороший', 7), ('отличный', 5), ('экран', 4), ('понравиться', 4), ('телефон', 3), ('смартфон', 3), ('супер', 3), ('память', 3), ('летать', 3), ('очень', 3), ('быстрый', 3), ('приятный', 2), ('яркий', 2), ('огонь', 2), ('просто', 2), ('большой', 2), ('удобный', 2), ('подарок', 2), ('отлично', 2), ('отменный', 2), ('шикарный', 1), ('заказ', 1), ('вовремя', 1), ('быть', 1), ('заявить', 1), ('коробка', 1), ('идеальный', 1), ('состояние', 1), ('плёнка', 1), ('устраивать', 1), ('крайний', 1), ('мера', 1), ('прошествие', 1), ('неделя', 1), ('неудобство', 1), ('перенести', 1), ('дать', 1), ('старое', 1), ('объём', 1), ('быстрота', 1), ('производительность', 1), ('автономность', 1), ('батарея', 1), ('оперативка', 1), ('малыш', 1), ('идеально', 1), ('фото', 1), ('зарядка', 1), ('заряжать', 1), ('такой', 1), ('цена', 1), ('взять', 1), ('из-за', 1), ('дизайн', 1), ('версия', 1), ('задний', 1), ('крышка', 1), ('стекло', 1), ('рамка', 1), ('металлический', 1), ('глаз', 1), ('достойный', 1), ('фронт', 1), ('мейн', 1), ('классный', 1), ('смарт', 1), ('брать', 1), ('выглядеть', 1), ('скорость', 1), ('работа', 1), ('высота', 1), ('лёгкий', 1), ('дисплей', 1), ('качество', 1), ('оперативный', 1), ('расширяться', 1), ('соответствовать', 1), ('описание', 1), ('покупать', 1), ('жена', 1), ('процессор', 1), ('звук', 1), ('спасибо', 1), ('товар', 1), ('видео', 1), ('снимать', 1), ('чётко', 1), ('новый', 1), ('достаточно', 1), ('быренький', 1), ('благодаря', 1), ('свой', 1), ('характеристика', 1), ('средство', 1), ('различный', 1), ('коммуникация', 1), ('радость', 1)]","[('пока', 7), ('найти', 3), ('обнаружить', 3), ('ватс', 3), ('недостаток', 2), ('работать', 2), ('уведомление', 2), ('массивный', 1), ('блок', 1), ('сравнение', 1), ('многий', 1), ('аналог', 1), ('думать', 1), ('этот', 1), ('привыкать', 1), ('возможно', 1), ('через', 1), ('время', 1), ('дополнить', 1), ('никакой', 1), ('сплошной', 1), ('плюс', 1), ('сложно', 1), ('ударопрочный', 1), ('чехол', 1), ('прийтись', 1), ('заказывать', 1), ('алиэкспресс', 1), ('выявить', 1), ('нету', 1), ('нарекание', 1), ('слишком', 1), ('сильно', 1), ('выпирать', 1), ('камера', 1), ('определить', 1), ('иногда', 1), ('приходить', 1), ('заходить', 1), ('написать', 1), ('перезагрузить', 1), ('норма', 1)]",46
1,product--smartfon-xiaomi-redmi-note-13-4g,"[('работать', 6), ('хороший', 4), ('отличный', 3), ('комплект', 3), ('чёткий', 3), ('классный', 2), ('дизайн', 2), ('неделя', 2), ('приятный', 2), ('чехол', 2), ('плёнка', 2), ('отлично', 2), ('нравиться', 2), ('цена,качество', 2), ('батарея', 2), ('яркий', 2), ('экран', 2), ('характеристика', 1), ('доступный', 1), ('цена', 1), ('пользование', 1), ('большой', 1), ('гораздо', 1), ('дешёвый', 1), ('магазин', 1), ('например', 1), ('поволжье', 1), ('бонус', 1), ('царапина', 1), ('перейти', 1), ('самсунг', 1), ('пользоваться', 1), ('около', 1), ('удобный', 1), ('повседневный', 1), ('жизнь', 1), ('есть', 1), ('8/128', 1), ('зарядка', 1), ('шнур', 1), ('нанести', 1), ('шустрый', 1), ('объём', 1), ('память', 1), ('симпатичный', 1), ('внешне', 1), ('остальной', 1), ('пойдëть', 1), ('порадовать', 1), ('бампер', 1), ('качество', 1), ('работа', 1), ('плохой', 1), ('просто', 1), ('класс', 1), ('идеальный', 1), ('подарок', 1), ('рука', 1), ('комплектация', 1), ('полный', 1), ('девушка', 1), ('довольный', 1), ('хотеть', 1), ('этот', 1), ('модель', 1), ('эргономика', 1), ('неплохой', 1), ('плавный', 1), ('больший', 1)]","[('пока', 3), ('зависать', 2), ('трудно', 1), ('найти', 1), ('защитный', 1), ('стекло', 1), ('новый', 1), ('марка', 1), ('обнаружить', 1), ('устраивать', 1), ('найтись', 1), ('потеть', 1), ('сначала', 1), ('заметить', 1), ('однако', 1), ('потом', 1), ('увидеть', 1), ('покацаный', 1), ('объектив', 1), ('камера', 1), ('придожить', 1), ('процессор', 1), ('такой', 1), ('note', 1), ('производительность', 1), ('измениться', 1), ('версия....закать', 1), ('начать', 1), ('пропадать', 1), ('звук', 1), ('второй', 1), ('использование', 1), ('звонок', 1), ('когда', 1), ('брать', 1), ('трубка', 1), ('слышать', 1), ('помогать', 1), ('только', 1), ('перезагрузка', 1), ('также', 1), ('сильно', 1), ('нагреваться', 1), ('периодически', 1), ('экран-', 1), ('нажиматься', 1), ('нажатие', 1)]",43
2,product--smartfon-xiaomi-redmi-note-13-pro-5g,"[('отличный', 6), ('хороший', 5), ('телефон', 3), ('камера', 3), ('аппарат', 2), ('экран', 2), ('круто', 2), ('очень', 2), ('шустрый', 2), ('качество', 1), ('вообще', 1), ('пушка', 1), ('тонкий', 1), ('зарядка', 1), ('быстрый', 1), ('хорошая+наклеить', 1), ('плёнка', 1), ('стекло', 1), ('надо', 1), ('клеить', 1), ('скорость', 1), ('память', 1), ('крутой', 1), ('свой', 1), ('деньга', 1), ('отлично', 1), ('смартфон', 1), ('большой', 1), ('разрешение', 1), ('функционал', 1), ('ocean', 1), ('teal', 1), ('удачный', 1), ('цвет', 1), ('реал', 1), ('выглядеть', 1), ('просто', 1), ('класс', 1), ('работать', 1), ('спасибо', 1), ('классный', 1), ('день', 1), ('полёт', 1), ('нормальный', 1), ('продукт', 1), ('заявить', 1)]","[('пока', 3), ('выявить', 2), ('обнаружить', 2), ('цена', 1), ('предложение', 1), ('баланс', 1), ('быстро', 1), ('садиться', 1), ('аккумулятор', 1), ('найти', 1)]",28
3,product--smartfon-xiaomi-poco-f5,"[('отличный', 7), ('шустрый', 6), ('зарядка', 5), ('быстрый', 5), ('работать', 4), ('аппарат', 3), ('мощный', 3), ('смартфон', 3), ('быстродействие', 2), ('комплект', 2), ('старый', 2), ('красивый', 2), ('приятный', 2), ('спасибо', 2), ('удобно', 2), ('лежать', 2), ('стильный', 2), ('процессор', 2), ('прийти', 2), ('модель', 2), ('новый', 2), ('плавность', 1), ('сервис', 1), ('гугл', 1), ('скорость', 1), ('чехол', 1), ('кабель/блок', 1), ('космос', 1), ('летать', 1), ('сравнение', 1), ('redmi', 1), ('исполниться', 1), ('связь', 1), ('показывать', 1), ('динамик', 1), ('громкий', 1), ('даже', 1), ('уменьшать', 1), ('громкость', 1), ('прихожая', 1), ('слушать', 1), ('тянуть', 1), ('игра', 1), ('высокий', 1), ('настройка', 1), ('hyperos', 1), ('трубка', 1), ('тормозить', 1), ('мощность', 1), ('основный', 1), ('внешний', 1), ('железо', 1), ('лёгкий', 1), ('современный', 1), ('оооочень', 1), ('классный', 1), ('нравиться', 1), ('шустро', 1), ('держать', 1), ('особенно', 1), ('такой', 1), ('проблема', 1), ('оперативка', 1), ('отзывчивый', 1), ('проц', 1), ('почтение', 1), ('реалмить', 1), ('восторг', 1), ('опломбированый', 1), ('целый', 1), ('аккуратно', 1), ('упаковать', 1), ('покофон', 1), ('хоть', 1), ('выпуск', 1), ('2023', 1), ('довольный', 1), ('дизайн', 1), ('хорошо', 1), ('матовый', 1), ('корпус', 1), ('характеристика', 1), ('12/256', 1), ('соотношение', 1), ('цена-характеристики-дизайн', 1), ('каифа', 1), ('описание', 1), ('жаль', 1), ('дождаться', 1), ('более', 1), ('есть', 1), ('беспроводный', 1), ('целое', 1), ('запечатать', 1), ('рекомендовать', 1), ('продовца', 1), ('хотеть', 1), ('пользоваться', 1), ('перегреться', 1), ('заряжать', 1), ('мина', 1), ('полный', 1), ('чехол+', 1), ('заводский', 1), ('плёнка', 1), ('производительность', 1), ('автономность', 1), ('интересный', 1), ('расцветка', 1), ('комфортный', 1), ('андройда', 1), ('начинка', 1), ('смарт', 1)]","[('камера', 5), ('самый', 3), ('найти', 3), ('вообще', 2), ('сильно', 2), ('карман', 2), ('случайно', 2), ('разблокировать', 2), ('увидеть', 2), ('телефон', 2), ('прийтись', 2), ('быть', 2), ('выявить', 2), ('обнаружить', 2), ('слабоватый', 2), ('размер', 2), ('терпимо', 1), ('реально', 1), ('тёплый', 1), ('пользование', 1), ('горячий', 1), ('неделя', 1), ('отключать', 1), ('уведомление', 1), ('каждый', 1), ('приложение', 1), ('недостаток', 1), ('хотеться', 1), ('большой', 1), ('капризничать', 1), ('фронтальный', 1), ('темнота', 1), ('плохо', 1), ('фоткаета', 1), ('фотка', 1), ('мылиться', 1), ('очень', 1), ('греться', 1), ('хороший', 1), ('конечно', 1), ('вариант', 1), ('сканер', 1), ('отпечаток', 1), ('палец', 1), ('кнопка', 1), ('питание', 1), ('показаться', 1), ('удачный', 1), ('решение', 1), ('доставать', 1), ('одежда', 1), ('наоборот', 1), ('убирать', 1), ('можно', 1), ('толком', 1), ('потом', 1), ('удивляться', 1), ('отправить', 1), ('свой', 1), ('начальник', 1), ('фото', 1), ('собака', 1), ('позвонить', 1), ('бывший', 1), ('заказать', 1), ('тонна', 1), ('навоз', 1), ('миллиард', 1), ('подобный', 1), ('случай', 1), ('когда', 1), ('оставаться', 1), ('включить', 1), ('общий', 1), ('привыкнуть', 1), ('телефонный', 1), ('книга', 1), ('мало', 1), ('место', 1), ('записать', 1), ('продажа', 1), ('второй', 1), ('тяжёлый', 1), ('использование', 1), ('жрать', 1), ('батарея', 1), ('хайпер', 1), ('ос,камера', 1), ('этот', 1), ('деньга', 1), ('пойти', 1), ('цена', 1), ('пока', 1), ('вилы', 1), ('нету', 1), ('привыкать', 1), ('лично', 1), ('придирка', 1), ('потому', 1), ('гораздо', 1), ('малый', 1), ('реагировать', 1), ('окружающий', 1), ('свет', 1), ('белый', 1), ('линия', 1), ('программа', 1), ('подключение', 1), ('через', 1), ('переходник', 1), ('скорее', 1), ('весь', 1), ('поддерживаться', 1), ('слот', 1), ('карта', 1)]",64
4,product--smartfon-xiaomi-poco-x6-pro,"[('отличный', 7), ('хороший', 5), ('скорость', 5), ('быстрый', 4), ('шустрый', 4), ('качество', 4), ('память', 3), ('телефон', 3), ('цена', 3), ('очень', 3), ('заряд', 3), ('экран', 3), ('работа', 3), ('радовать', 3), ('производительность', 2), ('мощный', 2), ('просто', 2), ('железо', 2), ('работать', 2), ('новый', 2), ('процессор', 2), ('качественный', 2), ('яркий', 2), ('фото', 2), ('довольный', 2), ('лёгкий', 2), ('современный', 2), ('дизайн', 2), ('начинка', 2), ('достоинство', 1), ('объём', 1), ('лагаета', 1), ('пушка', 1), ('подойти', 1), ('рабочий', 1), ('цель', 1), ('поиграть', 1), ('можно', 1), ('убийца', 1), ('флагманов👍👍👍', 1), ('проц', 1), ('товар', 1), ('соответсвовать', 1), ('описание', 1), ('быстро', 1), ('летать', 1), ('дисплей', 1), ('моментальный', 1), ('отклик', 1), ('уровень', 1), ('сутки', 1), ('спокойно', 1), ('покупаться', 1), ('подарок', 1), ('жена', 1), ('замечательный', 1), ('свой', 1), ('виброотклик', 1), ('динамика', 1), ('неплохой', 1), ('скоросто', 1), ('продавец', 1), ('дешёвый', 1), ('весь', 1), ('наконец', 1), ('прозрачный', 1), ('много', 1), ('приложение', 1), ('космос', 1), ('2024', 1), ('файловый', 1), ('конечно', 1), ('снимок', 1), ('цена-качество', 1), ('красивый', 1), ('целое', 1), ('аппарат', 1), ('свежий', 1), ('долго', 1), ('вместе', 1), ('мощность', 1), ('интернет', 1), ('класс', 1), ('пуля', 1), ('флагман', 1), ('продавца.дизайн', 1), ('отлично', 1), ('высокий', 1), ('тянуть', 1), ('удобный', 1), ('маленький', 1), ('рука', 1), ('протестировать', 1), ('антут', 1), ('обзор', 1)]","[('обнаружить', 3), ('пока', 3), ('только', 2), ('недостаток', 2), ('обычный', 2), ('себя', 2), ('скользкий', 1), ('батарея', 1), ('взгляд', 1), ('нету', 1), ('холод', 1), ('всегда', 1), ('срабатывать', 1), ('отпечаток', 1), ('палец', 1), ('вряд', 1), ('быть', 1), ('мировой', 1), ('отзыв', 1), ('положительный', 1), ('выявить', 1), ('реклама', 1), ('мало', 1), ('держать', 1), ('батарейка', 1), ('день', 1), ('хватать', 1), ('средний', 1), ('нормальный', 1), ('пользования(фоткать', 1), ('счётчик', 1), ('пара', 1), ('котик', 1), ('hyperos', 1), ('сыроватый', 1), ('фига', 1), ('догнать', 1), ('камера', 1), ('этот', 1), ('деньга', 1), ('сносно', 1), ('время', 1), ('использование', 1), ('зажопилить', 1), ('иголочка', 1), ('маркий', 1)]",51
5,product--sim-karta-mts-bolshe-i-dr-tarify-vsia-rossiia-balans-300-rub,"[('цена', 8), ('отличный', 6), ('удобно', 6), ('номер', 5), ('можно', 4), ('надо', 3), ('ходить', 3), ('выбрать', 3), ('описание', 3), ('есть', 3), ('норма', 2), ('другой', 2), ('качество', 2), ('симкарта', 2), ('работать', 2), ('подарок', 2), ('никуда', 2), ('быстрый', 2), ('регион', 2), ('любить', 1), ('известный', 1), ('оператор', 1), ('немного', 1), ('муторный', 1), ('целое', 1), ('использовать', 1), ('ранее', 1), ('часто', 1), ('бывать', 1), ('простой', 1), ('присоединение', 1), ('действовать', 1), ('нужный', 1), ('приобрести', 1), ('дешёвый', 1), ('подключение', 1), ('авторизоваться', 1), ('покупать', 1), ('данный', 1), ('услуга', 1), ('оставить', 1), ('себя', 1), ('никто', 1), ('подарить', 1), ('пользоваться', 1), ('хорошо', 1), ('такой', 1), ('сейчас', 1), ('дорогой', 1), ('слот', 1), ('зона', 1), ('покрытие', 1), ('интернет', 1), ('довольный', 1), ('качественно', 1), ('достаться', 1), ('бесплатно', 1), ('комплект', 1), ('телефон', 1), ('новый', 1), ('надеяться', 1), ('рабочий', 1), ('выбор', 1), ('300₽', 1), ('денуть', 1), ('доставка', 1), ('средство', 1), ('устраивать', 1), ('300р', 1), ('приятно', 1), ('этот', 1), ('бонус', 1), ('захотеть', 1), ('новогодний', 1), ('перейти', 1), ('скидка', 1), ('оказаться', 1), ('доступный', 1), ('настоящий', 1), ('легко', 1), ('особенно', 1), ('учёт', 1), ('балл', 1), ('написать', 1), ('нармальный', 1), ('пройти', 1), ('мина', 1), ('плюс', 1), ('ютуба', 1), ('помощь', 1), ('если', 1), ('самостоятельный', 1), ('необходимость', 1), ('идти', 1), ('саморегистрация', 1), ('выгодный', 1), ('спасибо', 1)]","[('недостаток', 4), ('быть', 3), ('тариф', 3), ('один', 2), ('прийтись', 2), ('дорога', 2), ('мочь', 2), ('хотеть', 2), ('нету', 1), ('нравиться', 1), ('особо', 1), ('десять', 1), ('завестись', 1), ('разве', 1), ('умолчание', 1), ('стоить', 1), ('какой', 1), ('речь', 1), ('минимальный', 1), ('стоимость', 1), ('оставлять', 1), ('желать', 1), ('доплатить', 1), ('долгий', 1), ('заморочка', 1), ('проблема', 1), ('товар', 1), ('законодательство', 1), ('обойти', 1), ('деньга', 1), ('закончиться', 1), ('почти', 1), ('неделя', 1), ('попросить', 1), ('доложить', 1), ('хотя', 1), ('подарочный', 1), ('обман', 1), ('нужно', 1), ('пополнить', 1), ('счёт', 1), ('получиться', 1), ('подключить', 1), ('после', 1), ('звонок', 1), ('карта', 1), ('только', 1), ('никакой', 1), ('подводный', 1), ('камень', 1), ('обнаружить', 1)]",81
6,product--redmi-note-12-4g,"[('шустрый', 6), ('цена', 4), ('экран', 4), ('отличный', 3), ('лёгкий', 3), ('дизайн', 3), ('аппарат', 3), ('приятный', 3), ('качество', 3), ('быстрый', 3), ('заряд', 3), ('держать', 3), ('стоимость', 2), ('тормозить', 2), ('отлично', 2), ('ребёнок', 2), ('красивый', 2), ('смартфон', 2), ('удобный', 2), ('дисплей', 2), ('подарок', 2), ('такой', 2), ('дочка', 2), ('супер', 2), ('достаточный', 1), ('объём', 1), ('память', 1), ('тонкий', 1), ('лежать', 1), ('рука', 1), ('отзываться', 1), ('прикосновение', 1), ('аккумулятор', 1), ('только', 1), ('бабушка', 1), ('писать', 1), ('красочный', 1), ('мощный', 1), ('процессор', 1), ('12500', 1), ('теперь', 1), ('хотеть', 1), ('такой-же', 1), ('характеристика', 1), ('дорога', 1), ('производительный', 1), ('пробовать', 1), ('поиграть', 1), ('игра', 1), ('греться', 1), ('сильно', 1), ('пластик', 1), ('ощупь', 1), ('120гц', 1), ('приятно', 1), ('смотреть', 1), ('стильный', 1), ('держаться', 1), ('сутки', 1), ('яндекс', 1), ('заказывать', 1), ('4ить', 1), ('довозить', 1), ('аккуратно', 1), ('всегда', 1), ('супруг', 1), ('понравиться', 1), ('телефон,цена', 1), ('просто', 1), ('космический', 1), ('хорошо', 1), ('приобретаться', 1), ('получатель', 1), ('супертелефон', 1), ('деньги,брать', 1), ('12300', 1), ('доставить', 1), ('нарекание', 1), ('зарядка', 1), ('яркий', 1), ('батарея', 1), ('полный', 1), ('нагрузке(игра', 1), ('видео', 1), ('инет', 1), ('вечер', 1), ('цена-', 1), ('купить', 1), ('начинка', 1), ('связь', 1), ('доступ', 1), ('везде', 1), ('использование', 1), ('шустро', 1), ('долго', 1), ('покупать', 1), ('сравнить', 1), ('старый', 1), ('прочный', 1), ('нормально', 1)]","[('обнаружить', 9), ('камера', 4), ('очень', 3), ('выявить', 3), ('пока', 3), ('найти', 1), ('кнопка', 1), ('звук', 1), ('легко', 1), ('случай', 1), ('плюс', 1), ('трудно', 1), ('быть', 1), ('подобрать', 1), ('чехол', 1), ('наверное', 1), ('целое', 1), ('придирчивый', 1), ('подойти', 1), ('отлично👍👍👍', 1), ('жена', 1), ('даже', 1), ('подтупливать', 1), ('этот', 1), ('деньга', 1), ('большой', 1), ('себя', 1), ('ожидать', 1), ('бюджетный', 1), ('хозяйка', 1), ('довольный', 1), ('мочь', 1), ('тиховата', 1)]",69
7,product--smartfon-samsung-galaxy-a54-5g,"[('хороший', 13), ('телефон', 12), ('камера', 9), ('отличный', 6), ('быстрый', 4), ('смартфон', 4), ('покупать', 4), ('удобный', 3), ('подарок', 3), ('устраивать', 3), ('цена', 3), ('нормальный', 3), ('автономность', 2), ('неплохой', 2), ('день', 2), ('красивый', 2), ('дизайн', 2), ('доставка', 2), ('заряд', 2), ('довольный', 2), ('выглядеть', 2), ('samsung', 2), ('galaxy', 2), ('справляться', 2), ('держать', 2), ('супер', 2), ('свой', 2), ('защита', 1), ('песок', 1), ('вода', 1), ('ip67', 1), ('первый', 1), ('хватать', 1), ('работа', 1), ('новый', 1), ('согласно', 1), ('технический', 1), ('спецификация', 1), ('быстродействие', 1), ('компактный', 1), ('удобно', 1), ('пользоваться', 1), ('интерфейс', 1), ('сохранять', 1), ('несколько', 1), ('сутки', 1), ('слишком', 1), ('интенсивный', 1), ('использование', 1), ('хорошо', 1), ('минус', 1), ('видеть', 1), ('другой', 1), ('жена', 1), ('работает.быстро', 1), ('грузить', 1), ('приложения.хорошать', 1), ('камера.удобный', 1), ('покупаться', 1), ('ребёнок', 1), ('школьный', 1), ('возраст', 1), ('качество', 1), ('сборка', 1), ('сказать', 1), ('-самсунг', 1), ('море', 1), ('достоинство', 1), ('гарантия', 1), ('быть', 1), ('этот', 1), ('подбирать', 1), ('многие', 1), ('предостерегать', 1), ('ненадёжно', 1), ('сейчас', 1), ('такой', 1), ('любовь', 1), ('победить', 1), ('жалеть', 1), ('классный', 1), ('немного', 1), ('тяжеловатый', 1), ('200гра', 1), ('живой', 1), ('картинка', 1), ('120гц', 1), ('оболочка', 1), ('тёща', 1), ('понравиться', 1), ('шустрый', 1), ('прекрасный', 1), ('лёгкий', 1), ('плохой', 1), ('шустро', 1), ('тормоз', 1), ('лутший', 1), ('товар', 1), ('небольий', 1), ('деньга', 1), ('быстро', 1), ('весь', 1), ('задача', 1), ('аккумулятор', 1), ('1,5-2', 1), ('игра', 1), ('водозащита', 1), ('скорость', 1), ('греться', 1), ('купить', 1), ('вроде', 1), ('брать', 1), ('около', 1), ('насыщенный', 1), ('цвет', 1), ('дисплей', 1), ('защитный', 1), ('плёнка', 1), ('жирный', 1), ('пятно', 1), ('денги', 1), ('полностью', 1), ('оправдывать', 1), ('стоимость', 1), ('функционал', 1), ('достаточный', 1), ('шнур', 1), ('нужно', 1), ('отдельно', 1)]","[('пока', 3), ('выявить', 2), ('палец', 2), ('верить', 2), ('параллельный', 2), ('импорт', 2), ('слабый', 1), ('отпечаток', 1), ('думать', 1), ('вообще', 1), ('отказываться', 1), ('скользкий', 1), ('задний', 1), ('стеклянный', 1), ('спинка', 1), ('идти', 1), ('зарядный', 1), ('устройство', 1), ('кабель', 1), ('официальный', 1), ('поставка', 1), ('блок', 1), ('комплект', 1), ('найти', 1), ('прийти', 1), ('распечатать', 1), ('коробка', 1), ('если', 1), ('курьер', 1), ('зачем-то', 1), ('вскрываться', 1), ('таможня', 1), ('малайзия', 1), ('нету', 1), ('порядок', 1), ('слабоватый', 1), ('зарядка', 1), ('привычно', 1), ('поначало', 1), ('датчик', 1), ('недостаток', 1), ('самсунг', 1), ('пить', 1), ('обнаружить', 1), ('равно', 1), ('дороговатый', 1), ('разъём', 1), ('наушник', 1), ('переходник', 1), ('всякий', 1), ('подойти', 1), ('пожалуй', 1)]",75
8,product--smartfon-xiaomi-poco-m6-pro,"[('быстрый', 1), ('зарядка', 1), ('лёгкий', 1), ('отличный', 1), ('звук', 1)]",[],2
9,product--smartfon-apple-iphone-13,"[('телефон', 14), ('новый', 9), ('айфон', 8), ('оригинал', 8), ('хорошо', 6), ('продавец', 5), ('отличный', 4), ('упаковать', 4), ('активированный', 4), ('доставка', 4), ('день', 4), ('спасибо', 4), ('заряд', 3), ('пользование', 3), ('пломба', 3), ('быстрый', 3), ('момент', 3), ('приехать', 3), ('нужный', 3), ('брать', 3), ('хороший', 3), ('конечно', 3), ('камера', 3), ('пакет', 3), ('целый', 3), ('видео', 2), ('рука', 2), ('держать', 2), ('прийти', 2), ('гарантия', 2), ('уровень', 2), ('заявить', 2), ('заказывать', 2), ('рынок', 2), ('плохо', 2), ('серийный', 2), ('номер', 2), ('рекомендовать', 2), ('современный', 2), ('удобный', 2), ('размер', 2), ('оригинальный', 2), ('активироваться', 2), ('даже', 2), ('есть', 2), ('отлично', 2), ('проверка', 2), ('ранее', 2), ('ростест', 2), ('только', 2), ('чётко', 2), ('просто', 2), ('прекрасный', 2), ('очень', 2), ('отзыв', 2), ('подарок', 2), ('успешно', 2), ('активация', 2), ('февраль', 2), ('товар', 2), ('быстро', 2), ('идеальный', 2), ('красивый', 2), ('неактивированный', 2), ('аппарат', 1), ('приятно', 1), ('лежать', 1), ('сбить', 1), ('утро', 1), ('вечер', 1), ('хватать', 1), ('голова', 1), ('активный', 1), ('абсолютно', 1), ('2025', 1), ('-ёмкость', 1), ('батарея', 1), ('-дизайн', 1), ('удобство', 1), ('-скорость', 1), ('работа', 1), ('-качество', 1), ('фото/видео', 1), ('африка', 1), ('всегда', 1), ('полностью', 1), ('исправный', 1), ('рабочий', 1), ('срок', 1), ('покупка', 1), ('самый', 1), ('дешёвый', 1), ('взять', 1), ('неделя', 1), ('бояться', 1), ('полно', 1), ('восстановить', 1), ('биться', 1), ('остальной', 1), ('косвенный', 1), ('признак', 1), ('никакой', 1), ('подозрение', 1), ('топить', 1), ('пробовать', 1), ('вообщий', 1), ('показать', 1), ('данный', 1), ('довольный', 1), ('индийский', 1), ('судить', 1), ('наклейка', 1), ('оптимальный', 1), ('выбор', 1), ('сегодняшний', 1), ('класс', 1), ('люкс', 1), ('максимум', 1), ('технология', 1), ('текущий', 1), ('iphone15', 1), ('большой', 1), ('факт', 1), ('фишка', 1), ('часто', 1), ('видеосъёмка', 1), ('золотой', 1), ('середина', 1), ('цена-качество', 1), ('семёрка', 1), ('приходиться', 1), ('старться', 1), ('аккуратный', 1), ('хотя', 1), ('больший', 1), ('фото', 1), ('естественно', 1), ('ночью', 1), ('снимать', 1), ('макро', 1), ('понять', 1), ('режим', 1), ('тупить', 1), ('интерфес', 1), ('манера', 1), ('меняться', 1), ('начало', 1), ('напрягать', 1), ('позабыть', 1), ('привыкнуть', 1), ('отдельный', 1), ('внешний', 1), ('краска', 1), ('prosto-technika', 1), ('везти', 1), ('склад', 1), ('«prosto-technika»', 1), ('москва', 1), ('128gb', 1), ('картонный', 1), ('заклеить', 1), ('пупырчатый', 1), ('целофан', 1), ('немой', 1), ('собственно', 1), ('imei', 1), ('окей', 1), ('другой', 1), ('стран-прийти', 1), ('индия', 1), ('яблоко', 1), ('покупать', 1), ('офлайн', 1), ('переживание', 1), ('много', 1), ('сине-голубой', 1), ('сильно', 1), ('переживать', 1), ('оригинальность', 1), ('маркет', 1), ('разный', 1), ('огромный', 1), ('надеяться', 1), ('оставить', 1), ('положительный', 1), ('эмоция', 1), ('дальнейший', 1), ('дополнить', 1), ('прошествие', 1), ('месяц', 1), ('новый,предупреждать', 1), ('надпись', 1), ('кстати.заказать', 1), ('рождение', 1), ('сыну-', 1), ('сказать', 1), ('классный', 1), ('получение', 1), ('заказ', 1), ('место', 1), ('сайт', 1), ('провести', 1), ('дата', 1), ('2024', 1), ('забирать', 1), ('качественный', 1), ('честный', 1), ('говорить', 1), ('нечего', 1), ('плавно', 1), ('шустрый', 1), ('замечательный', 1), ('шикарный', 1), ('диагональ', 1), ('известный', 1), ('достоинство', 1), ('продукция', 1), ('бренд', 1), ('форм-фактор', 1), ('ноавиться', 1), ('айфон,упаковать', 1), ('затем', 1), ('пупырка', 1), ('действительно', 1), ('оригинал,относить', 1), ('центр', 1), ('сервис', 1), ('прописано,упаковать', 1), ('царапинка', 1), ('вмятинк', 1), ('совесть', 1), ('👍🏻👌🏻', 1), ('орига', 1), ('физический', 1), ('симка', 1), ('facetime', 1), ('100%', 1), ('распечатать', 1), ('функция-и', 1), ('vowifi', 1), ('volte-связь', 1), ('запечатать', 1), ('советовать', 1), ('распаковать', 1), ('заранее', 1)]","[('быть', 5), ('обнаружить', 3), ('зарядка', 2), ('оказаться', 2), ('наушник', 2), ('официальный', 2), ('знать', 2), ('казаться', 2), ('мочь', 2), ('нету', 2), ('темно', 2), ('разьть', 1), ('oled', 1), ('дисплей', 1), ('санкция', 1), ('танцевать', 1), ('бубен', 1), ('поставить', 1), ('некоторый', 1), ('программа', 1), ('-бедность', 1), ('комплектация', 1), ('когда-то', 1), ('приобрести', 1), ('8-ку', 1), ('шокировать', 1), ('увидеть', 1), ('кроме', 1), ('непосредственно', 1), ('кирпич', 1), ('коробка', 1), ('лишь', 1), ('кабель', 1), ('питание', 1), ('сетевой', 1), ('устройство', 1), ('блюпуп', 1), ('ничего', 1), ('более', 1), ('капиталист', 1), ('копейка', 1), ('удавятся🤬', 1), ('этот', 1), ('стоимость', 1), ('хотеться', 1), ('комплект', 1), ('сразу', 1), ('часы', 1), ('чехол', 1), ('😉😁😁😁', 1), ('вернуть', 1), ('россия', 1), ('пожалуйста', 1), ('высокий', 1), ('цена', 1), ('такой', 1), ('эффект', 1), ('обслуживание', 1), ('страна', 1), ('чуть', 1), ('скриншот', 1), ('стать', 1), ('менее', 1), ('удобно', 1), ('делать', 1), ('apple', 1), ('недостаток', 1), ('😊🍎❤️', 1), ('семья', 1), ('флагман', 1), ('взрослый', 1), ('ребёнок', 1), ('счастливый', 1), ('приложение', 1), ('доступный', 1), ('андроид', 1), ('почему', 1), ('почему-то', 1), ('когда', 1), ('лазия', 1), ('греться', 1), ('должный', 1), ('дорога', 1), ('возможно', 1), ('вскрывать', 1), ('граница', 1), ('вообще', 1), ('расти', 1), ('тест', 1), ('превосходно', 1), ('выявить', 1), ('наслать', 1), ('упаковка', 1), ('помятый', 1), ('картон', 1), ('низкий', 1), ('непрочный', 1), ('вроде', 1), ('чёрный', 1)]",69
