,model,positive,negative,comment
0,product--smartfon-xiaomi-redmi-note-13-pro-4g,"['Шустрый, приятный и яркий экран, камера шикарная', 'Заказ пришел вовремя, как и был заявлено. Коробка в идеальном состоянии, в пленке. Сам телефон отличный, меня все устраивает, по крайней мере по прошествии недели не заметил каких то неудобств. Быстро перенес данные со старого смартфона.', 'все супер. объем памяти, быстрота, отличная производительность и камера.', 'быстро работает, хорошая камера, автономность', 'шустрый, камера хорошая батарея , оперативка 12 ,память 512', 'Шустрый малыш, быстро летает. Всё идеально Камера огонь, фото и просто супер. Зарядка очень быстро заряжает. Хороший телефон', 'отличный смартфон за такую цену', 'Взял из-за дизайна, понравился больше чем версия 5g.', 'задняя крышка стекло, рамка металлическая, шустрый, экран приятный для глаза при 120 МГц, достойная камера и фронт, и мейн', 'хороший удобный быстрый', 'Все хорошо', 'классный смарт брал на подарок очень понравился работает быстро.', 'выглядит отлично, хорошая камера, скорость работы на высоте', 'Удобный, быстрый, легкий', 'Камера отменная. Все просто летает. Дисплей отменного качества. Оперативная память расширяется до 16 Гб.', 'Соответствует описанию. Покупал в подарок жене, ей очень понравилось. Шустрый процессор, яркий экран, хороший звук.', 'Всë отлично, спасибо, товар супер.', 'отличный смартфон!!!', 'Хороший и шустрый. Видео снимает четко.', 'Огонь', 'новый', 'Телефон понравился. Достаточно быстрый', 'камера и большой экран', 'шустрый, летает быренько))', 'Благодаря своим характеристикам отличное средство для различных коммуникаций. Работает на радость мне!']","['массивный блок камер в сравнении с многими аналогами, но думаю к этому быстро привыкаешь', 'Пока не заметил, возможно через какое то время дополню.', 'нет никаких недостатков сплошные плюсы', 'сложно найти ударопрочный чехол (пришлось заказывать с алиэкспресса)', 'недостатков нет', 'не выявлено, работает хорошо', 'нету', 'Пока нет нареканий.', 'нет', 'Слишком сильно выпирает камера', 'пока не нашел', 'Пока не обнаружено.', 'Не обнаружил', 'нет', 'Не найдено', 'Нет', 'нет', 'Пока не определены', 'пока все работает', 'уведомления иногда в ватс апе не приходят, т.е. заходишь в сам ватс ап, а там тебе написали, уведомление не пришло. А так перезагрузила тлф , работает норм ватс ап', 'пока не обнаружены']","['Телефоном очень довольна. Уже много лет пользуюсь Сяоми Редми, но это самая впечатляющая покупка. Как рядовой пользователь я очень довольна.Очень шустрый, быстро перенесла данные со старого телефона, все настроила под себя. Хочу отметить классный стерео звук, прикольный сканер отпечатка пальца на самом экране, качество картинки и фотографии. Телефон приятно держать в руках. Заказывала доставку из зарубежа, чтоб была глобальная прошивка. От момента заказа до доставки прошло 9 дней. Спасибо продавцу и Яндекс маркету.', 'шикарный мощный смартфон за небольшую плату. ничуть не уступает по всем качествам другим дорогущим телефонам. Айфон в подметки не годится.', 'прекрасный телефон, недавно прилетело обновление на hyperOS', 'сделала себе подарок и не пожалела телефон супер!', 'Советую к покупке, не пожалеете!', 'Доставка пришла раньше срока, все соответствует характеристикам', 'отличный смартфон в этой ценовой категории, определенно стоит покупать, если сомневаетесь.', 'отличный аппарат.', 'советую,', 'Рекомендую к покупке', 'Всë отлично, доставленно в срок, супер.', 'Стоит своих денег. Рекомендую.', 'Все супер, за такую цену.', 'Все отлично мне нравится,просто бомба', 'всё отлично!']"
1,product--smartfon-xiaomi-redmi-note-13-4g,"['Классный дизайн, хорошие характеристики, доступная цена', 'отличный телефон в пользовании больше недели, гораздо дешевле чем в магазине, например у нас в Поволжье, приятный бонус чехол и плёнка от царапин в комплекте, перешёл с самсунга.', 'Все отлично работает', 'Смартфоном пользуюсь около двух недель. Очень нравится. Удобен для повседневной жизни.', 'есть', 'Цена,качество', '120 гц, 8/128 гб, чехол, зарядка, шнур в комплекте, пленка уже нанесена', 'Отлично работает', 'работает, батарея 2 дня', 'яркий, шустрый, хороший объем памяти, симпатичный внешне', 'Экран !!! И все остальное', 'пойдëть, работает!', 'четкий телефон 👍👍👍', 'очень порадовал отличнейший бампер в комплекте с телефоном.', 'чёткие фото.', 'Хороший.', 'Цена,качество', 'отличное качество работы', 'не плох', 'камера просто класс', 'очень нравится', 'работает', 'идеальный подарок', 'чёткая камера, приятный в руках, всё работает, комплектация полная, девушка довольна, хотела эту модель,', 'Классный дизайн, хорошая эргономика, неплохая камера, яркий и плавный экран, большая батарея']","['трудно найти защитное стекло как смартфон новый марки', 'нет', 'нет', 'пока не обнаружила', 'пока все устраивает', 'нет', 'нет', 'нет', 'не нашлось', 'нет', 'Нет', 'Потеет камера', 'нет', 'пока нет', 'нет', 'сначала не заметил, однако потом увидели, что покацаный объектив камеры, фото придожил', 'Процессор такой же, как и в Note 12, т.е. производительность не изменилась, ну и 4G версия....зачем', 'У телефона начал пропадать звук на второй день использования , зависает при звонке - когда берешь трубку, то не ты, ни тебя не слышат. Помогает только перезагрузка. Также очень сильно нагревается, периодически зависает экран- не нажимается при нажатии.']","['Покупала сыну на подарок, работает без нареканий.', 'Рекомендую, хорошо держит заряд и работает шестой!', 'Очень хороший телефон, тем более за эти деньги. дизайн, память, процессор, камеры, экран амолед 120гц всё на высоте!!!', 'хороший бюджетный телефон', 'Для подарка в самый раз!', 'классный, большая память', 'Цена качество нормальное соотношение', 'брал в подарок жене, ей очень понравилось', 'отличный чехол-бампер', 'палет нормальный', 'Смартфон супер', 'Для работы самое то', 'полностью есть всё соответствия с заявленными характеристиками', 'покупал в подарок, однако всё работает, возвращать не стали, ведь буду ещё тчательней осматривать, на голубой телефон чёрный чехол в комплекте, на голубой телефон - нонсенс), а так телефон топ, всё работает, всё синхранизировалось как надо']"
2,product--smartfon-xiaomi-redmi-note-13-pro-5g,"['отличный телефон, по качеству вообще пушка тонкий, зарядка быстрая, камера хорошая+наклеена плёнка на стекло не надо клеить', 'отличный аппарат', 'скорость, камера, экран, память', 'все круто', 'крут за свои деньги!', 'хорош', 'Все отлично, очень шустрый смартфон', 'большой экран, хорошее разрешение, отличный функционал, хорошие камеры.', 'ocean teal очень удачный цвет, в реале выглядит просто класс', 'всё работает, спасибо, отличный телефон', 'Классный', '6 день полет нормальный,', 'хороший продукт', 'отличный', 'телефон хорош, шустрый, всё как заявлено', 'отличный аппарат!', 'круто']","['нет', 'их нет) цена предложение, баланс', 'нет', 'пока не выявил', 'не обнаружил', 'нет', 'быстро садиться аккумулятор', 'пока не обнаружил', 'не выявлены', 'нет', 'пока не нашел']","['после Самсунга ультра привыкать пока струдновато , а так шустрый телефон.', 'единственное что смутило это то что пришел черный в коробке из под белого ну а так смартфон оказался именно тот что заказывал', 'Отличный смартфон.', 'продавец порадовал очень быстро собрал и доставил', 'телефон просто бомба,12 оперативки 512 памяти очень шустрый ,камера лучше чем на редми нот 12, два динамика звук очень классный ,очень доволен телефоном,советую брать', 'Всё супер', 'мне все понравилось!', 'топ', 'Товар соответствует описанию']"
3,product--smartfon-xiaomi-poco-f5,"['Экран, плавность, быстродействие, сервисы гугл, скорость зарядки. Чехол, кабель/блок зарядки в комплекте', 'Аппарат космос, вам летает по сравнению со старым redmi 5 (ему 7 лет исполнилось). Связь показывает 4G+, динамик громкий, даже уменьшал громкость, чтобы прихожие не слушали 🙂', 'Мощный, красивый, тянет все игры на высоких настройках, HyperOS имба', 'Отличная бюджетная трубка!', 'Не тормозит, быстрая зарядка, приятный экран, хорошая мощность, хорошая основная камера, хороший внешний вид', 'Очень шустрый (спасибо железу), удобно лежит в руке, лёгкий, стильный и современный', 'Оооочень классный смартфон! Пока нравится Всё!', 'телефон отличный. шустро работает удобно держать в руке', 'отличный телефон, особенно за такие деньги, работает быстро и без проблем.', 'экран, процессор, оперативка', 'Очень шустрый телефон. Экран шикарный, тач отзывчивый. Проц и память моё почтение.', 'Быстрый, хороший процессор, все работает на нём в разы лучше чем на моем старом реалми. пока в восторге.', 'Отличный смартфон за свои деньги. Пришел быстро опломбированый целый аккуратно упакованный.', 'модель лучше чем покофон ф 6 про хоть и выпуск 2023', 'отличный телефон 😊 доволен как 🐘', 'Дизайн, хорошо лежит в руке, приятный матовый корпус', 'Хорошие характеристики 12/256', 'быстродействие', 'Соотношение цена-характеристики-дизайн', 'работает быстро', 'каиф. все как в описании . Жаль не дождались более новой модели . в новом уже есть беспроводная зарядка', 'хороший телефон', 'хороший аппарат', 'Мощный стильный', 'Все пришло целое запечатанное спасибо рекомендую продовца красивый', 'мощный, быстрый, то что хотела. пользуюсь месяц, ни разу не перегрелся. в комплекте зарядка на 67 вт, заряжает за 20 мин до полного + чехол+ заводская пленка на экран', 'Производительность\nЭкран\nБатарейка (автономность)\nИнтересная расцветка', 'Отличный аппарат. Шустрый. Комфортный.', 'хороший андройд', 'хорошая начинка, быстрый и шустрый', 'Быстрый', 'отличный смарт', 'очень шустрый', 'шустрый хороший смартфон']","['Камера не самая лучшая, но терпимо', 'Реально тёплый при пользовании, не горячий. Неделю отключал уведомления у каждого приложения.', 'Не то, чтобы недостаток, но батарейку хотелось бы побольше. Но это я уже капризничаю.', 'Не нашел вообще!', 'Фронтальная камера в темноте очень плохо фоткает, фотка мылиться очень сильно, греется сильно', 'Камера не самая лучшая, конечно, но за свои деньги — шикарный вариант. Сканер отпечатков пальцев в кнопке питания показался мне не самым удачным решением, ибо пока достаешь телефон из кармана одежды или наоборот убираешь, то можно случайно его разблокировать и толком не увидеть этого, а потом удивляться, как же это я так случайно отправил своему начальнику фото моей собаки, позвонил бывшей, заказал 50 тонн навоза и ещё миллиард подобных случаев, когда экран телефона остаётся включенным и разблокированным в кармане. В общем, придется ещё привыкнуть.', 'Не увидел.', 'в телефонной книге мало места что б записать имена', 'нет.', 'Продажа во вторые руки, будет тяжелой', 'нет', 'Нет.', 'не выявил', 'За месяц использования не обнаружил', 'нет', 'быстро жрет батарею на хайпер ос,камера бюджетная', 'Слабовата камера, но за эти деньги пойдет', 'Цена за рст. (41 тыс)', 'не выявил', 'нет', 'пока не обнаружил', 'не выя вил', 'Их вообще нету', 'Нет', 'не нашла', 'Пришлось привыкать к размеру. Но это лично мои придирки потому, что до этого был телефон гораздо меньшего размера.', 'камера реагирует на окружающий свет, белыми линиями', 'Не нашёл программы для подключения через переходник к LAN, скорее всего не поддерживается. Нет слота для карты памяти.', 'нет', 'камера слабовата']","['Мощь, невероятная мощь!!! Может все игры на макс и 60 и более кадров.\nЭкран, супер, амолед, 120герц, глаза не болят от него. Яркость отличная, на солнце нет проблем.\nАккум, долгий, живучий, без игр два дня смело ходит, зарядка 67 ватт, как я раньше жил без этого)) 3х летняя от хонор 18 ватт теперь кажется каменным веком.\nПамять, в прошлом телефоне был такой же конфиг памяти, но в этом телефоне она уже вся модная новая быстрая, взял бы 512, но их нет, а ф5про не зашел по дизайну и отсутствием 3,5.\nИ да, наличие 3,5 средневековье наверно, но ситуации все еще бывают когда он очень пригождается.\nКамеры, чуть лучше чем у старого 3х летнего хонор20про. Ну не кино снимать на него)) да и не за ""глаза"" я его покупал))) есть, днем фоткает хорошо, доки фоткает, видео снимает со стабом.\nСвязь держит лучше старого телефона, как и почему незнаю.\nДатчик приближения физический, экран адекватно тухнет при разговоре, громкости динамиков очень даже хорошие.\nСканер пальца на боку, очень удобно и привычно, но порой любое прикосновение к нему воспринимает разблокировкой, пальца не видит и так раза 3-4 и после, при уже действительно разблокировке, просит ввести код вручную, типа было слишком много неудачных попыток приложить палец.\nНе видел ни одного конкурента за такие смешные деньги (упор на мощь проца и чтоб был снапдрагон) на момент покупки.\nВне себя от счастья и удовольствия от телефона.\nДоставка как всегда радовала тем что приехал раньше обещанного, все в целости!', 'Цена 33к. Взял папе в подарок, сам пользуюсь айфоном уже лет 15, на данный момент iPhone 11 Pro Max, пока сидел настраивал андроид, вернулся на свой и понял что мне пора менять телефон, экран, насыщенность, плавность на POCO в разы лучше 😂 По качеству сборки конечно уступает, пластик и все такое, в сравнение с Apple , но за такие деньги все ок. Экран топ, игры тянет, зарядка быстрая. Единственное не понял, там пленка на экране, это с завода? Есть ли смысл еще клеить сверху стекло/пленку?', 'В параметрах телефона в разделе Сертификаты нет EAC, хотя на коробке, на всех наклейках такой логотип присутствует, надписи все на русском.', 'Очень довольна, в MIUI, а теперь и в HyperOS, просто влюблена. Плавная, быстрая, и всё для моего удобства сделано. Миллион вариантов разделения экрана в универе спасали не раз. Камера не Самсунг, конечно, но очень достойная. Короче люблю свой телефон всей душой.', 'Получил на день раньше, мелочь но приятно :) Три дня погонял, устройство доставили отличного качества! Перечислять характеристики не вижу смысла так как они есть и в описании и в общем доступе. Покупкой доволен и на данный момент устройство работает без нареканий! Надеюсь в дальнейшем ни каких неприятностей не вылезет...\nСоветую к покупке!', 'За свои ден хороший телефон', 'Брал в белом цвете с интересным дизайном задней крышки. Конфигурация 12/256 Гб. На самом деле, 12 Гб оперативки — это очень много (+ резерв около 4 Гб), даже для заядлых геймеров. В играх греется, конечно, и чутка подтроттливает после получаса полной нагрузки, обзоры можете на ютубе глянуть, но это в пределах нормы.\nВ целом доволен покупкой. Эта модель действительно заслуживает такой цены.', 'Пока 5 дней использования.\nВ комплекте сам смартфон, силиконовый чехол, плёнка защитная на экране, зарядное 67 Вт.', 'мне нравится эта модель', 'для повседневного пользования отлично, зарядки хватает на весь день.', 'Покупал для дочери,3 класс, в восторге, еать все, разобралась быстро)', 'отличный телефон, работает шустро, обновляется до Хайпер ОС, экран сочный яркий, камера вполне приемлема.', 'Это лучший телефон за свои деньги. Если купите не пожалеете.', 'Новый процессор работает быстро, не тротлит, хороший четкий экран, много, прям много оперативки, правда ПЗУ могли чуть больше сделать. За свои деньги вполне может быть конкурентом и самсунгу и яблоку. камера- так себе', 'Заказом доволен', 'быстро надёжно не нагревается лучшее что есть', 'А что вы хотели за эти деньги 🤗', 'Мощный, быстрый телефон. Хороший дисплей. Показалось, что быстро расходуется аккумулятор.', 'Покупал маме на смену Poco F1 (РСТ) в январе 2024. Продавец Яндекс. Мама довольна.', 'в общее понравился', 'хороший аппарат за свои деньги', 'телефон за эти деньги отличный', 'Телефон бомба, мощный яркий. Заряд держит долго', '(Не пишу цифр тестов потому что их куча в на ютубах)Пришло время обновить телефон и мой выбор пал на этого красавца. Сразу бросились в глаза интересные расцветки которые продаются. Пересмотрел кучу роликов с тестами и бенчмарками по всем параметрам он меня устраивал. Камера отличная с камерафонами конечно сравнивать не буду, но для своего сегмента достойно. Производительность на уровне. Игры не тормозят приложения все отзываются мгновенно. В Общем даже с условием наценок отличный девайс, всем советую.', 'получил соответствует описаниям в работе не пробовал', 'Отличный', 'в целом хороший телефон', 'В принципе, мне нравится.', 'все устраивает, не жалею что прикупил именно эту модель. по ценнику неадекватно конечно, но зато здесь и сейчас', 'Шикарный телефон. Камеры радуют. Производительность, и скорость отклика на высшем уровне. Оказался по всём параметрам лучше, чем расчитывал, с ценой середнечка.']"
4,product--smartfon-xiaomi-poco-x6-pro,"['одни достоинства', 'быстрый по производительности, хороший объём памяти', 'Отличный телефон, мощный, не лагает, и цена просто пушка, подойдёт и для рабочих целей, да и поиграть можно во все.', 'убийца флагманов👍👍👍', 'хорошее железо - проц и память', 'Товар соответсвует описанию', 'отличный смартфон работает очень быстро', 'Телефон очень шустрый;\nНовый процессор, всё летает.....!\nКачественный яркий дисплей с моментальным откликом;\nКачество фото на уровне;\nНовая операционная система;\nЗаряд держит сутки спокойно.\nПокупался в подарок жене, она довольна.', 'в нём всё замечательно. топ за свои деньги', 'Экран, скорость работы, виброотклик, скорость заряда, динамики', 'качество неплохое.\nскоросто отличная. у этого продавца дешевле всего нашел.\nчехол наконец то не прозрачный, что радует', 'лёгкий, современный, шустрый.\nхорошее качество фото. много приложений.\nвсе просто Космос на 2024 год.\nфайловая система UFS 4.0 конечно радует.\nкачество снимков радует как и скорость работы камеры', 'Отличный смартфон. мощное железо, отличный экран.', 'цена-качество', 'шустрый ,красивый дизайн', 'хороший экран, процессор и память. в целом отличный аппарат за эти деньги', 'Очень шустрый, свежая начинка, яркий дизайн', 'Быстрый, долго держит заряд, хорошая камера, современный, вместе с чехлом.', 'мощность ,скорость интернета. скорость работы. беспроводная зарядка.', 'Класс 🙌', 'Быстрый как пуля', 'Цена, начинка как у флагманов', 'Цена продавца.Дизайн.', 'всё отлично работает', 'высокая производительность, всё тянет на 5', 'Отличный телефон.', 'быстрый, качественные', 'Лёгкий, удобный для моей маленькой руки! я довольна, протестировала по антуту, всё как в обзорах.']","['Только один недостаток , скользкий чехол .', 'батарея держит как обычный смартфон', 'За эти деньги на мой взгляд их нет', 'нету беспроводной зарядки', 'на холоде не всегда срабатывает отпечаток пальца', 'нет', 'Для себя недостатков не нашел', 'не обнаружил', 'пока нет. да и вряд ли будет, т.к. 97% мировых отзывов положительные.', 'Для себя не выявил.', 'рекламы ппц.', 'мало держит батарейку, но на день хватает', 'камера средняя, она нормальная для обычного пользования(фоткать счётчики и пару раз котиков)', 'Операционная система HyperOS сыровата', 'Нет', 'нет.', 'Фиг догонишь', 'Камера, НО за эти деньги сносно', 'Не обнаружено за время использования.', 'пока не обнаружил', 'Нет.', 'зажопили иголочку', 'пока нет, маркий только']","['советую к приобретению', 'Не знаю можно ли считать недостатком, но камера звёзд с неба не хватает, но опять же за свои деньги, я считаю что отличная, а если кто-то хочет камеру это уже', 'если нравится носить без чехла,хвастаться телефоном,советую приобрести защитную плёнку на заднюю панель,тел очень маркий,кроме жёлтого цвета,там ЭКО кожа', 'в целом понравился', 'это просто пушка по сравнению с самсунг я доволен', 'Рекомендую к покупке!', 'идеальный', 'телефон шикарный по характеристикам, процессор новый и операционка тоже, посмотрим как покажет себя, но пока всё хорошо работает', 'Покупкой доволен.', 'в целом телефон взял супруге на 8 марта по цене 35300р.', 'Перешёл с Poco x 3 pro 6-128 , ожидания были большими, в принципе эфекта вау не было, но в целом аппарат не плохой, дисплей конечно лучьше в играх особой разницы не обнаружил, а так в целом не плохой аппарат но не прям вау... Версия 12-512', 'отличный телефон, если отключить всю рекламу.', 'понравился по сути', 'Взял в сплит. Всем советую и смартфон и покупки в сплит', 'Мощная игрушка за небольшие деньги.', 'это xiaomi POCO X6 pro 5G. с расширением памяти до 20 ГБ оперативы( ростест ). он не просто -шустрый он безумный !!!', 'Буду пытаться', 'Отличный телефон для повседневной жизни и для тяжёлых игр.', 'Продавец подошёл к заказу и доставке с большой ответственностью, что очень порадовало. Товар качественный.', 'Грузит быстро,работает мягко.', 'рекомендую всем кому понравится']"
5,product--sim-karta-mts-bolshe-i-dr-tarify-vsia-rossiia-balans-300-rub,"['Отличная сим карта, люблю МТС', 'Цена сим . Баланс на счете . Известный оператор', 'Не надо ходить в салон связи', 'отличная симка можно выбрать номер, регистрация немного муторная но в целом все норм', 'Не использованные ранее номера, как это часто бывает с другими симками. Простая регистрация через присоединение к уже действующему номеру в МТС.', 'удобно, не нужен топать в салон.', 'Качество связи цена, удобно, можно быстро приобрести сим карту.', 'Хорошая симка', 'дешевле, чем в салоне', 'Можно выбрать номер и тариф самому. При подключении.', 'Быстро, все как в описании', 'отличная симкарта, удобно авторизоваться. буду покупать еше данную карту.', 'Работает. Активация через гос услуги', 'Оставила себе, никому не подарила, буду сама пользоваться', 'Хорошо все', 'За такую цену это просто подарок, сейчас уже дороже', 'Удобно что не надо никуда ходить', 'быстра активация, все виды слотов', 'Зона покрытия есть там где нет других', 'Цена, качество интернета', 'Всё как в описании. Доволен.', 'Быстро, удобно, качественно', 'Отличная цена, досталось бесплатно в комплекте с телефоном.', 'Все в норме, новая симкарта', 'Надеюсь будут все рабочие', 'выбор региона, 300₽ на счету', 'дешего', 'Быстрая доставка, на балансе есть средства, не надо никуда ходить', 'всë устраивает', 'баланс 300р (очень приятно этому бонусу)', 'При активации можно выбрать регион и номер, какой захочешь', 'отличный', 'Новогодний - отличный тариф! Перейду на него. Цена карты со скидкой оказалась очень доступной и это ещё не всё. На счету уже будет 300 рублей - настоящий подарок!', 'Всё работает', 'Баланс 300', 'Удобно активировать.', 'Легко купить, особенно с учетом баллов', 'Все как написано.', 'цена', 'Продавец мтс', 'нармально', 'Все отлично. Регистрацию прошел за 5 мин. все описание есть, плюс Ютуб в помощь, если что', 'Самостоятельная активация. Нет необходимости идти в салон связи.', '300 р на счету, саморегистрация', 'Выгодная цена', 'нет', 'спасибо']","['Нету недостатков мне все нравится', 'Нет недостатков ,все отлично', 'Особо и нет', 'Одна из десяти симок не завелась. Пришлось топать в салон.', 'нет, разве что по умолчанию дорогой тариф стоит.', 'Нет', 'нет', 'Нет', 'Какие могут быть недостатки?', 'Нет', 'Нет', 'Их нет', 'О каких тут недостатках может быть речь', 'Минимальная стоимость тарифов оставляет желать лучшего :(', 'Хочешь не хочешь но доплатить придётся', 'Долгая регистрация', 'Заморочки с активацией, но это не проблема товара и продавца. Законодательство не обойти же.', 'Нет', 'Связь не очень, деньги быстро закончились, почти через неделю попросил доложить 150 р. Хотя на счете было 300 подарочных. Обман.', 'нет', 'ни так просто сим карту активировать ,нужно пополнить счёт на 700 рублей', 'Получилось подключить тариф с 5 го раза, после звонка в тп', 'их нет', 'Нет', 'нет', 'нет', 'Купил 2 сим карты, баланс 300 был только на одной', 'Никаких подводных камней', 'нет', 'их нет', 'не обнаружил', 'Нет', 'Нет', 'дорогой тариф']","['Купила эту сим карту для самостоятельной активации, пришла быстра и оформила также быстро самостоятельно выбрала тариф. Спасибо', 'Симки доставили быстро . Ещё не подключала ,но думаю не должно быть проблем . Покупала для личного пользования', 'Приша быстро, с регистрацией пришлось немного повозиться, все проходит только через госуслуги. Сменил тариф. 300₽ как и обещали, были на карте', 'в зависимости от региона цена тарифов меняется', 'получил в пункте выдачи, вместе с другими заказами, не нужно специально идти в салон, тратить время на оформление, не надо платить какие то отдельные комиссии за подключение в салоне, сколько платишь - столько и на счёте. Добавил сим без проблем в лк, брали ребёнку в телефон.', 'Регистрация через гос услуги сим карты.', 'Отличная симкарта за низкую стоимость, реально 300 рублей на балансе, рекомендую! Зарегистрировала сама', 'намного лучше вариант, чем подключаться в салоне.', 'Тарифы как и всех операторов приблизительно одинаковые по стоимости.', 'Упаковано шикарно', 'отличная СИМ-карта, на балансе уже деньги есть, возможно подключить любой тариф', 'Верное описание продавца. На балансе 300р', 'Тариф настроила под себя', 'Все пришло быстро,и в целости и сохранности,', 'Буду пользоваться и радоваться', 'нужно ещё 300 пополнить для полноценного использования', 'Хорошая цена, даже без учета промокода', 'В целом нормально. Но плохая связь и обман с деньгами мне не понравился. Не рекомендую.', 'Все, как и ожидалось. Новая симкарта. Доставка средняя', 'а так все быстро пришло', 'Отличный тариф, для новых подключений, нормальное количество интернета и минут, плюс на год домашний интернет в подарок.', 'рекомендую', '👍', 'МТС - хороший надёжный оператор с отличным покрытием. Рекомендую товар.', 'всё хорошо', 'Цена приемлемая, в конечном счете получается выгодное приобретение. Тариф попался хороший, жаль сейчас неактуальный для меня. Пришлось менять. Обещанные деньги были на счету.', 'получилось дешевле чем в салоне МТС', 'всё понравилось, активировал через приложение мтс.', 'пока не пробовал будет видно', 'то, что на счете 300 рублей с лихвой покрывает все списания, да и сама симка вышла в 22 рубля. все супер', 'Проблем с активацией не возникло. Через приложение мой МТС производим активацию симки, а через госключ подписываем договор на оказание услуг связи и все работает.', 'Посмотрим как подключить и изменить тариф без абонентской платы']"
